row	old_commit	old_parent	old_tree	old_patch	old_timestamp	source_refs	new_commit	new_parent	new_tree	new_patch	new_timestamp	patch_relation	disposition
39	fc3a54c3e0c543c5ebce73336b5aa90037911291	74325e3cae1913592a9b80846e340f74350d81fa	57eeb0703de7648c7b5537779c7ce28be47413b2	2e5929bc0bbff7d4ecb46c0ba12525fc0eec0f11	2026-03-31T14:59:29+09:00	diagnostic-codex-5.6-red,pre-odds-v1	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
40	9df0b240558e3c7008e1263ffc5cbef174c54979	fc3a54c3e0c543c5ebce73336b5aa90037911291	0138568277feddd41fb18f4529920d1ac6cbcd2a	3613ab5c08273b6545415fb310ab7e1d57001ca7	2026-04-02T09:07:13+09:00	diagnostic-codex-5.6-red,pre-odds-v1	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
41	0ef3d12574256dcee2d0d68e26095474e88485bc	9df0b240558e3c7008e1263ffc5cbef174c54979	ccf984b8e6f388df53bb22b29336ce38228b9dfe	aa89f04286e7d782880360deeada90e1b7460811	2026-04-02T15:30:19+09:00	pre-odds-v1	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
42	f654951374c48ce8aeb4179cccccb052e84fa322	0ef3d12574256dcee2d0d68e26095474e88485bc	c451e20254371e0ff13aca44aaac1ec47494d52d	6d037e0bcde4a022861e173b3558cfcfe45ee981	2026-04-02T20:10:54+09:00	pre-odds-v1	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
43	a802d9614131d04c072a248344f9dd5ee7bb074a	f654951374c48ce8aeb4179cccccb052e84fa322	5d751749454ad33e9b630cd3eb41a6387d87ba40	84991bdb749e7c3d9f7c7fb4e35f172262bdc51a	2026-04-02T20:39:33+09:00	pre-odds-v1	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
44	06c90ac3f9126b2954e038d075422a0c75445d17	a802d9614131d04c072a248344f9dd5ee7bb074a	b3bae134d34d534214300fd3b68617180ff8f7d5	785c11183816627f8d3add91eea0e5a9bb2f8d40	2026-04-03T10:17:09+09:00	pre-odds-v1	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
45	75098ce7b761f927b5a68883fe6370c67e5992b4	06c90ac3f9126b2954e038d075422a0c75445d17	ddabe3663950bd88c02e9c381b7110f422c281e1	afde10d72d04c4b9de13a4fd9453f4f2c17de0a7	2026-06-11T10:28:17+09:00	pre-odds-v1	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
46	c150adf0a6bf6cdfbbd5c744b3a8d9a8581f68b2	9df0b240558e3c7008e1263ffc5cbef174c54979	74144550025ce22e12fb19c62cbe1a8858bb13cd	30155a58519c93e86aab10f98097c93dc447e5d7	2026-06-11T10:28:17+09:00	diagnostic-codex-5.6-red	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
47	5ea94d76bc3a0e98f3a50d54ca0b547fcc765799	75098ce7b761f927b5a68883fe6370c67e5992b4	03d917c1191e690ad043bd85f83b852b37c03b80	59c3bbe74fb59c0d9f5a838da8fc3509b2331bba	2026-06-11T10:33:02+09:00	pre-odds-v1	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
48	7af7b88516be16c347e76da30f5a671cdeda933a	c150adf0a6bf6cdfbbd5c744b3a8d9a8581f68b2	03d917c1191e690ad043bd85f83b852b37c03b80	17f14cc3841620f4ff561236a4a37a8c199ed2e4	2026-06-11T10:33:02+09:00	diagnostic-codex-5.6-red	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
49	5995b0774bbb2f3be3286283a3b94b40caec6ea7	7af7b88516be16c347e76da30f5a671cdeda933a	4c5f34f8874206cb93c1ee8f0a0a3d0a4fe6f2a6	79d8fb4fb7362c9a0c78f835054a5404c80d4786	2026-06-14T12:53:30+09:00	diagnostic-codex-5.6-red	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
