origin_refs	old_commit	old_tree	old_patch_id	disposition	new_commit	new_tree	new_patch_id
refs/tags/pre-delivery-v1	18123d39230d8a7e8322a479490b49eb85df6120	8472997a7a2a004e65f4de2ed00cf3e1705a1f0b	05c2b2fa8f3e7284304cd523b2b0d23f804c75de	deduplicate_to_canonical_main_commit_patch_equal	86856d3279d88c5015c5d19c0ba3451963dcbff6	030a950807f4c9498489d871669d941ae76c093c	05c2b2fa8f3e7284304cd523b2b0d23f804c75de
refs/tags/pre-delivery-v1	603a7c9d9af08c0e0e8d5a25737e69b4104f158d	9b6ebb83fb5170a0b067339de95ed57cae0b465b	23725e1497bf04d8298fb1c6bc810bb0ae65e703	deduplicate_to_canonical_main_commit_patch_equal	ff84d023f826b5076bfb7a4c0242137f5f260dcf	a6c6f36c29524c98ab32927103f7bdd901f35ccd	23725e1497bf04d8298fb1c6bc810bb0ae65e703
refs/tags/pre-delivery-v1	faace871d05f478ad9bcae758182efd2338cffce	a1abea532bd3c3cdbb5995497bba47ee2ef323cd	6897f83bb0ec8ff7894a7599c0d99408b8a6997d	deduplicate_to_canonical_main_commit_patch_equal	842ef0a1d1a37ba2fb4fb1d688e9afe7fcee0341	8230da2f50160bb88cba9988d0c3b8028923234e	6897f83bb0ec8ff7894a7599c0d99408b8a6997d
refs/tags/pre-delivery-v1	138358e932f1680313d98dd096977d9b42600f70	cb565d45e3854a0ad426a69f85b61e54d53b9cf6	43cd24b579462d10d7e215ff07b0baac1893d677	deduplicate_to_canonical_main_commit_patch_equal	a08f8b42164ce2718a0c14ec76f1795c2159c1dc	0e8c44dd1fa7b30952291f975365cc6a4291082a	43cd24b579462d10d7e215ff07b0baac1893d677
refs/tags/pre-delivery-v1	de0c8b69e567b07e5850fee0b2d3286964a39014	f42881ed6956c15a2ca09a55d6631f7133cbe86f	7d2f49dd667a9ecd372dbd1ab6ab2fe029588cac	deduplicate_to_canonical_main_commit_patch_equal	d66286663fc6da5e49992d8a87ed8a5bcebce355	d2d3cf4df395650536d0adda08e214123d0c78c8	7d2f49dd667a9ecd372dbd1ab6ab2fe029588cac
refs/tags/pre-delivery-v1	1b7bda7ace0e0562f4988112ea2220f8fc83e07a	238e61c2cf8b889d7f71ff4c9cb95c0a08fadcca	98612c971fee2550a80b329c0e0058f6c463f196	deduplicate_to_canonical_main_commit_patch_equal	14c1c19423c3157bc83fb1785bb4a26f4e6b300f	bea630e95432d10cabe6d987700c000af683bcc5	98612c971fee2550a80b329c0e0058f6c463f196
refs/tags/pre-delivery-v1	111da6ca14b68da77ea55661b4061bfb7bf97e45	4dd46aecfea65c26c63e62dc2a66f62c0ecb3b16	43969ad6786e796bc1204eceb3bd777142b5b375	deduplicate_to_canonical_main_commit_patch_equal	4409a4a3669caa660604d38eb01f4d24005132f0	00de684424c0a2be85e9f1e82e400568f56aeb90	43969ad6786e796bc1204eceb3bd777142b5b375
refs/tags/pre-delivery-v1	77a20bb79927ae1d3d4c88a86d73f399885e93a2	247f9df3930ff8cb67072ba86fcfb90318dcb912	3e703b7445cc63b3ee9270df17c4931b64d25267	deduplicate_to_canonical_main_commit_patch_equal	66acadcfaec7b5f179c4b42ddeea7e6b5da78520	b5c3f687af352698acaa8ac5256ab75757e2514f	3e703b7445cc63b3ee9270df17c4931b64d25267
refs/tags/pre-delivery-v1	159572abe89a3d233cc0232b4de1e8744b33b586	442e4a04e360b2470bb94fd89182ca66d0ebdec0	829aaa8d7b0265aa9013cd488382f9e670f90a83	remove_from_source_learning_publication_only	-	-	-
refs/tags/pre-delivery-v1	56d791cfcdaebe5e5b8eb4bf99aa6b4ffb909e3a	41a6bd1c614372d94c96451c1d771344a9bd66ab	bb7fd85e8c79efb4cdc5f07b2767586d0136cb13	remove_from_source_learning_publication_only	-	-	-
